user,event_name,error_code
user_102,logs:GetLogEvents,
suspicious_43,cloudwatch:GetMetricData,AccessDenied
attacker_123,sts:AssumeRole,AccessDenied
attacker_193,s3:DeleteObject,
exfil_185,s3:GetObject,
user_12,sts:GetCallerIdentity,
exfil_192,s3:GetObject,
suspicious_25,iam:CreateUser,AccessDenied
exfil_36,s3:GetObject,
user_373,ec2:DescribeSecurityGroups,
exfil_175,s3:GetObject,
exfil_141,s3:GetObject,
user_35,s3:PutObject,
user_257,logs:GetLogEvents,
attacker_51,iam:DeleteRole,
user_197,lambda:ListFunctions,
user_148,sts:GetCallerIdentity,
suspicious_30,cloudwatch:GetMetricData,
user_251,sts:GetCallerIdentity,
user_204,rds:DescribeDBInstances,None
user_369,ec2:DescribeInstances,
user_161,iam:ListUsers,
user_57,s3:PutObject,None
user_1,ec2:DescribeInstances,
exfil_92,s3:GetObject,
user_342,iam:ListUsers,None
suspicious_29,s3:ListBucket,AccessDenied
exfil_199,s3:GetObject,
user_299,sts:GetCallerIdentity,None
user_349,iam:GetUser,None
user_337,ec2:DescribeInstances,
exfil_198,s3:GetObject,
suspicious_37,ec2:DescribeInstances,
exfil_90,s3:GetObject,
attacker_45,sts:AssumeRole,AccessDenied
attacker_109,iam:CreateUser,AccessDenied
user_145,ec2:DescribeSecurityGroups,
user_237,ec2:DescribeInstances,
user_312,s3:GetObject,
exfil_11,s3:GetObject,
user_303,iam:GetUser,
exfil_28,s3:GetObject,
exfil_70,s3:GetObject,
attacker_258,iam:AttachUserPolicy,AccessDenied
user_55,lambda:ListFunctions,
exfil_81,s3:GetObject,
exfil_23,s3:GetObject,
exfil_197,s3:GetObject,
user_203,s3:ListBucket,None
exfil_47,s3:GetObject,
user_0,cloudwatch:GetMetricData,
user_18,cloudwatch:GetMetricData,
attacker_272,iam:DeleteUser,
user_57,s3:PutObject,
attacker_27,iam:DeleteRole,
exfil_109,s3:GetObject,
user_96,logs:GetLogEvents,None
user_234,iam:GetUser,
user_299,cloudwatch:GetMetricData,
attacker_215,iam:AttachUserPolicy,AccessDenied
exfil_157,s3:GetObject,
suspicious_56,s3:GetObject,AccessDenied
exfil_11,s3:GetObject,
exfil_129,s3:GetObject,
attacker_222,iam:AttachUserPolicy,AccessDenied
user_224,s3:PutObject,
exfil_97,s3:GetObject,
suspicious_92,iam:CreateUser,AccessDenied
exfil_140,s3:GetObject,
user_283,ec2:DescribeInstances,
exfil_143,s3:GetObject,
exfil_168,s3:GetObject,
user_242,sts:GetCallerIdentity,
user_369,rds:DescribeDBInstances,
exfil_3,s3:GetObject,
user_369,s3:PutObject,None
user_9,iam:ListUsers,
exfil_131,s3:GetObject,
exfil_99,s3:GetObject,
user_87,ec2:DescribeInstances,
exfil_70,s3:GetObject,
exfil_93,s3:GetObject,
exfil_75,s3:GetObject,
exfil_108,s3:GetObject,
user_193,cloudwatch:GetMetricData,
user_173,s3:PutObject,
attacker_68,iam:CreateUser,AccessDenied
user_311,ec2:DescribeSecurityGroups,
exfil_135,s3:GetObject,
user_138,s3:ListBucket,
user_301,iam:ListUsers,
attacker_76,iam:CreateUser,AccessDenied
user_367,s3:GetObject,None
exfil_167,s3:GetObject,
user_41,rds:DescribeDBInstances,
user_58,s3:ListBucket,
user_3,logs:GetLogEvents,
user_350,s3:PutObject,None
suspicious_43,s3:GetObject,
exfil_170,s3:GetObject,
exfil_163,s3:GetObject,
user_271,s3:ListBucket,
exfil_187,s3:GetObject,
exfil_164,s3:GetObject,
attacker_190,iam:CreateUser,AccessDenied
user_330,s3:PutObject,
user_378,s3:PutObject,None
user_40,iam:ListUsers,
user_90,iam:ListUsers,
user_171,lambda:ListFunctions,None
exfil_68,s3:GetObject,
user_57,iam:GetUser,None
user_389,ec2:DescribeSecurityGroups,
user_294,ec2:DescribeInstances,
exfil_81,s3:GetObject,
exfil_131,s3:GetObject,
attacker_140,iam:CreateUser,AccessDenied
attacker_76,sts:AssumeRole,AccessDenied
exfil_66,s3:GetObject,
user_394,ec2:DescribeInstances,
attacker_132,iam:DeleteRole,
exfil_20,s3:GetObject,
exfil_17,s3:GetObject,
user_20,sts:GetCallerIdentity,
user_169,s3:GetObject,
user_37,iam:GetUser,None
user_164,sts:GetCallerIdentity,None
suspicious_67,cloudwatch:GetMetricData,
exfil_115,s3:GetObject,
user_199,logs:GetLogEvents,
user_341,iam:ListUsers,
exfil_32,s3:GetObject,
attacker_39,iam:AttachUserPolicy,AccessDenied
user_112,s3:PutObject,None
exfil_88,s3:GetObject,
user_129,lambda:ListFunctions,
exfil_166,s3:GetObject,
attacker_152,iam:CreateUser,AccessDenied
attacker_54,iam:DeleteRole,
exfil_196,s3:GetObject,
suspicious_3,iam:PutUserPolicy,
user_69,s3:PutObject,
exfil_189,s3:GetObject,
exfil_172,s3:GetObject,
attacker_161,sts:AssumeRole,AccessDenied
exfil_64,s3:GetObject,
exfil_130,s3:GetObject,
user_300,ec2:DescribeInstances,
suspicious_62,iam:CreateUser,AccessDenied
exfil_177,s3:GetObject,
attacker_279,iam:CreateUser,AccessDenied
user_115,rds:DescribeDBInstances,
exfil_185,s3:GetObject,
user_104,lambda:ListFunctions,
exfil_153,s3:GetObject,
exfil_96,s3:GetObject,
exfil_111,s3:GetObject,
exfil_99,s3:GetObject,
attacker_87,sts:AssumeRole,AccessDenied
exfil_18,s3:GetObject,
attacker_208,iam:CreateUser,AccessDenied
attacker_246,sts:AssumeRole,AccessDenied
user_246,s3:GetObject,
attacker_116,iam:DeleteRole,
user_322,sts:GetCallerIdentity,None
attacker_292,iam:CreateUser,AccessDenied
user_306,cloudwatch:GetMetricData,None
attacker_133,iam:CreateUser,AccessDenied
user_342,s3:GetObject,
attacker_90,iam:AttachUserPolicy,AccessDenied
attacker_282,iam:DeleteUser,
user_87,logs:GetLogEvents,
exfil_180,s3:GetObject,
user_185,s3:GetObject,
attacker_32,sts:AssumeRole,AccessDenied
user_313,cloudwatch:GetMetricData,
exfil_185,s3:GetObject,
user_64,s3:PutObject,
attacker_80,iam:CreateUser,AccessDenied
attacker_15,iam:CreateUser,AccessDenied
exfil_144,s3:GetObject,
user_351,s3:PutObject,
attacker_52,sts:AssumeRole,AccessDenied
exfil_107,s3:GetObject,
attacker_261,iam:CreateUser,AccessDenied
exfil_124,s3:GetObject,
exfil_142,s3:GetObject,
attacker_31,iam:CreateUser,AccessDenied
user_268,ec2:DescribeSecurityGroups,
exfil_34,s3:GetObject,
attacker_61,iam:DeleteRole,
exfil_95,s3:GetObject,
user_103,iam:GetUser,None
suspicious_87,ec2:DescribeSecurityGroups,AccessDenied
exfil_91,s3:GetObject,
user_379,iam:GetUser,None
user_33,s3:PutObject,
user_123,iam:ListUsers,
attacker_43,iam:AttachUserPolicy,AccessDenied
user_248,iam:GetUser,
exfil_129,s3:GetObject,
user_53,s3:GetObject,
user_185,logs:GetLogEvents,
user_70,s3:GetObject,None
attacker_56,sts:AssumeRole,AccessDenied
exfil_112,s3:GetObject,
exfil_149,s3:GetObject,
user_189,s3:PutObject,
exfil_52,s3:GetObject,
user_127,s3:PutObject,None
user_208,rds:DescribeDBInstances,None
user_174,lambda:ListFunctions,
exfil_159,s3:GetObject,
user_233,cloudwatch:GetMetricData,None
exfil_157,s3:GetObject,
user_196,cloudwatch:GetMetricData,None
user_374,s3:ListBucket,None
user_271,s3:GetObject,None
user_61,logs:GetLogEvents,
attacker_12,iam:CreateUser,AccessDenied
user_210,iam:GetUser,
user_326,ec2:DescribeInstances,
user_219,ec2:DescribeSecurityGroups,None
user_222,s3:ListBucket,
suspicious_24,cloudwatch:GetMetricData,AccessDenied
suspicious_36,ec2:DescribeSecurityGroups,
user_352,logs:GetLogEvents,
user_160,s3:GetObject,None
user_326,logs:GetLogEvents,
user_11,s3:PutObject,
attacker_172,iam:CreateUser,AccessDenied
user_378,iam:GetUser,None
user_58,iam:GetUser,
exfil_114,s3:GetObject,
exfil_186,s3:GetObject,
exfil_95,s3:GetObject,
suspicious_36,cloudwatch:GetMetricData,
user_396,ec2:DescribeSecurityGroups,None
user_282,ec2:DescribeInstances,None
exfil_57,s3:GetObject,
attacker_94,iam:DeleteUser,
user_174,ec2:DescribeSecurityGroups,
attacker_280,iam:AttachUserPolicy,AccessDenied
attacker_81,iam:AttachUserPolicy,AccessDenied
user_64,logs:GetLogEvents,
user_379,lambda:ListFunctions,
user_325,logs:GetLogEvents,
exfil_169,s3:GetObject,
exfil_66,s3:GetObject,
user_232,s3:PutObject,
user_53,lambda:ListFunctions,
user_78,cloudwatch:GetMetricData,
exfil_127,s3:GetObject,
user_135,lambda:ListFunctions,None
exfil_133,s3:GetObject,
user_236,rds:DescribeDBInstances,
user_392,ec2:DescribeInstances,
exfil_164,s3:GetObject,
attacker_161,iam:DeleteRole,
user_318,s3:GetObject,None
attacker_101,sts:AssumeRole,AccessDenied
user_302,ec2:DescribeInstances,
user_127,s3:GetObject,
exfil_181,s3:GetObject,
exfil_102,s3:GetObject,
user_350,s3:GetObject,None
user_207,s3:PutObject,None
user_295,logs:GetLogEvents,None
exfil_9,s3:GetObject,
suspicious_62,cloudwatch:GetMetricData,AccessDenied
user_140,rds:DescribeDBInstances,
user_373,iam:GetUser,
attacker_280,iam:CreateUser,AccessDenied
user_238,sts:GetCallerIdentity,
user_351,ec2:DescribeSecurityGroups,
user_369,ec2:DescribeSecurityGroups,
user_189,sts:GetCallerIdentity,None
exfil_72,s3:GetObject,
exfil_169,s3:GetObject,
attacker_112,iam:AttachUserPolicy,AccessDenied
exfil_30,s3:GetObject,
attacker_273,s3:DeleteObject,
exfil_115,s3:GetObject,
user_35,logs:GetLogEvents,
user_351,iam:GetUser,
attacker_180,s3:DeleteObject,
exfil_3,s3:GetObject,
exfil_45,s3:GetObject,
exfil_106,s3:GetObject,
user_157,iam:GetUser,None
exfil_130,s3:GetObject,
attacker_22,iam:DeleteUser,
exfil_165,s3:GetObject,
attacker_284,s3:DeleteObject,
exfil_122,s3:GetObject,
exfil_133,s3:GetObject,
exfil_114,s3:GetObject,
attacker_183,iam:CreateUser,AccessDenied
attacker_148,iam:DeleteUser,
attacker_99,sts:AssumeRole,AccessDenied
user_36,s3:ListBucket,
attacker_60,s3:DeleteObject,
user_300,s3:PutObject,None
exfil_47,s3:GetObject,
user_95,cloudwatch:GetMetricData,
user_70,s3:GetObject,
user_63,sts:GetCallerIdentity,
user_2,s3:PutObject,
exfil_196,s3:GetObject,
user_293,ec2:DescribeInstances,
attacker_274,iam:CreateUser,AccessDenied
user_317,iam:GetUser,
exfil_86,s3:GetObject,
exfil_153,s3:GetObject,
exfil_27,s3:GetObject,
user_282,iam:GetUser,
exfil_49,s3:GetObject,
user_158,lambda:ListFunctions,
suspicious_5,ec2:DescribeSecurityGroups,AccessDenied
attacker_13,iam:DeleteRole,
exfil_158,s3:GetObject,
user_163,iam:GetUser,
exfil_53,s3:GetObject,
user_51,ec2:DescribeInstances,
attacker_278,iam:DeleteRole,
suspicious_33,iam:AttachUserPolicy,
user_151,ec2:DescribeSecurityGroups,None
exfil_114,s3:GetObject,
attacker_124,iam:CreateUser,AccessDenied
attacker_252,iam:DeleteRole,
suspicious_51,s3:ListBucket,
exfil_90,s3:GetObject,
suspicious_3,s3:ListBucket,AccessDenied
user_259,cloudwatch:GetMetricData,
user_326,rds:DescribeDBInstances,
user_167,s3:ListBucket,None
exfil_139,s3:GetObject,
attacker_189,iam:DeleteUser,
attacker_285,sts:AssumeRole,AccessDenied
exfil_82,s3:GetObject,
attacker_281,iam:AttachUserPolicy,AccessDenied
user_388,s3:PutObject,
user_142,sts:GetCallerIdentity,
exfil_108,s3:GetObject,
user_99,s3:GetObject,
exfil_27,s3:GetObject,
user_8,s3:GetObject,None
user_67,rds:DescribeDBInstances,
user_103,s3:PutObject,
suspicious_58,ec2:DescribeInstances,
exfil_15,s3:GetObject,
exfil_53,s3:GetObject,
user_199,rds:DescribeDBInstances,
user_184,cloudwatch:GetMetricData,None
exfil_130,s3:GetObject,
exfil_155,s3:GetObject,
exfil_196,s3:GetObject,
user_5,sts:GetCallerIdentity,
exfil_118,s3:GetObject,
user_173,rds:DescribeDBInstances,None
user_207,s3:PutObject,
exfil_86,s3:GetObject,
user_304,s3:PutObject,
user_399,s3:PutObject,
user_137,s3:PutObject,
user_121,s3:ListBucket,None
attacker_224,iam:CreateUser,AccessDenied
user_80,lambda:ListFunctions,
exfil_53,s3:GetObject,
user_121,iam:GetUser,
attacker_189,sts:AssumeRole,AccessDenied
attacker_110,iam:AttachUserPolicy,AccessDenied
exfil_175,s3:GetObject,
user_318,rds:DescribeDBInstances,None
exfil_86,s3:GetObject,
exfil_66,s3:GetObject,
exfil_189,s3:GetObject,
user_373,iam:GetUser,
exfil_54,s3:GetObject,
user_172,lambda:ListFunctions,
user_52,ec2:DescribeInstances,
user_296,logs:GetLogEvents,
exfil_27,s3:GetObject,
exfil_94,s3:GetObject,
exfil_66,s3:GetObject,
exfil_124,s3:GetObject,
exfil_177,s3:GetObject,
exfil_127,s3:GetObject,
user_342,cloudwatch:GetMetricData,
attacker_203,s3:DeleteObject,
